,date,text,likes,views
23,2025-01-07 10:52:23,"Double Bubble Tea открывает новое кафе на Парнасе! 🎉  Друзья, мы рады сообщить о долгожданном событии! Недавно открылось наше новое кафе по адресу: г. Санкт-Петербург, ул. Меркурьева, 5 (метро Парнас)! 🥳  Теперь еще больше жителей Санкт-Петербурга смогут насладиться любимыми вкусами бабл ти от DBT! Ждем вас в уютной атмосфере нашего нового кафе, где вас ждут:  • Широкий выбор вкуснейших бабл ти: от классических до самых экзотических сочетаний!  • Только свежие ингредиенты: мы используем только лучшие продукты для создания ваших любимых напитков.  • Приветливый персонал: наши баристы всегда рады помочь вам с выбором и создадут для вас идеальный напиток.  • Уютная атмосфера: идеально подходит для встреч с друзьями, романтических свиданий или просто для отдыха после напряженного дня.  Часы работы: с 10:00 до 23:00.  Приходите и убедитесь сами! Мы гарантируем вам море удовольствия и заряд бодрости! 😊  Адрес: ул. Меркурьева, 5 (м. Парнас)",55,1816
24,2025-01-06 11:27:10,А какой вкус выберешь ты?😋,15,1612
25,2025-01-04 12:00:14,"ИЩЕМ СОТРУДНИКОВ В СТРЕМИТЕЛЬНО РАСТУЩУЮ КОМПАНИЮ - double bubble tea🧋  Те, кто давно за нами следят, знают, что мы каждый месяц открываем новые локации в Санкт-Петербурге, Москве, Казани, Саратове, Луганске и Петрозаводске!   Именно поэтому мы всегда находимся в поиске сотрудников! Но что вы получите устроившись к нам? 👇🏼  1. ЗП от 80.000 📈 2. Гибкий график. Это даст вам возможность управлять своим временем более эффективно. 3. Работа недалеко от дома  Ответы на все вопросы и более подробная информация по номеру:  Москва:  8 (904) 236-67-76  Питер: +7 (912) 700-45-37",6,1333
26,2025-01-03 15:10:01,"DBT - тот самый чай с шариками, который ищут все✨",32,1645
27,2024-12-31 09:38:58,"Double Bubble Tea: Подводим итоги невероятного года! ✨  Друзья, 2024 год пролетел как один миг, полный ярких моментов, новых открытий и, конечно же, невероятного количества вкусного бабл ти! Мы хотим выразить огромную благодарность каждому из вас за поддержку и любовь к нашему бренду!  Этот год был поистине фееричным! За 12 месяцев мы:  📍Открыли более 20 новых кафе! Теперь еще больше людей могут насладиться нашими любимыми напитками. Спасибо вам за то, что выбираете Double Bubble Tea!  ✨Провели 3 масштабные акции! Мы дарили вам подарки, скидки и море позитивных эмоций.  🎁Организовали более 5 увлекательных конкурсов! Вы делились своими фото, участвовали в викторинах и выигрывали призы. Спасибо за вашу активность и креативность!  👥Приняли более миллиона гостей! Это невероятное число, которое вдохновляет нас на новые свершения. Спасибо, что вы с нами!  Мы искренне благодарны каждому, кто стал частью нашей большой и дружной семьи Double Bubble Tea! Ваша поддержка – это наш самый ценный подарок🧋  В наступающем году мы планируем еще больше радовать вас новыми вкусами, акциями и конкурсами! Следите за нашими новостями и будьте готовы к новым удивительным открытиям!  С Новым годом! Желаем вам море позитива, ярких эмоций и, конечно же, много-много вкуснейшего бабл ти! 🥂",14,1518
28,2024-12-30 11:38:42,"Скидка 15,9% студентам! Приходи, мы тебя ждем!🧋",62,2173
29,2024-12-27 16:41:27,"Мы уже ждем тебя в DBT!✨ Скидка студентам 15,9%✌🏻",34,2056
30,2024-12-25 10:54:56,"В Double Bubble Tea – ВЕЛИКОЛЕПНАЯ НОВИНКА! Новые моти – шесть потрясающих вкусов! 🎉  Друзья, мы рады представить вам долгожданную новинку – шесть совершенно новых вкусов моти! Приготовьтесь к взрыву вкуса и ароматов!  ✨ Вот что вас ждет:  • Орео: Классическое сочетание нежного рисовой теста и хрустящих кусочков печенья Орео. Шоколадный рай! • Клубника-Мохито: Освежающая комбинация сочной клубники и мятного мохито. Идеальное летнее удовольствие! • Малина-Личи: Нежное сочетание сладкой малины и экзотического личи. Тропический вкус в каждой каплю! • Фисташка-Малина: Изысканное сочетание нежной фисташки и яркой малины. Гармония вкуса для настоящих гурманов! • Манго-Маракуйя: Тропический коктейль во рту! Сочный манго и кислая маракуйя – идеальный баланс! • Пина Колада: Насладитесь кусочком райского пляжа! Классический коктейль в новом формате!  Побалуйте себя и своих близких невероятными новыми моти! Приходите в Double Bubble Tea и выберите свой любимый вкус!",20,1530
31,2024-12-24 10:05:12,"Бери подругу и приходи к нам, скидка студентам 15,9%!🫶🏻",45,1714
32,2024-12-23 08:55:23,"Друзья, мы рады сообщить о долгожданном открытии нашего нового кафе в Санкт-Петербурге по адресу: Гончарная улица, дом 2! 🎉  Ждем вас в уютной атмосфере нашего нового кафе, где вы сможете отдохнуть, насладиться вкуснейшим бабл ти и зарядиться позитивом!   Приходите к нам на Гончарную, 2 и убедитесь сами, что бабл ти – это больше, чем просто напиток, это настоящий праздник вкуса!🧋",30,1540
